TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_DATE_TIME;TASK_EVENT_TYPE;TASK_[STARTED|TERMINATED]_EPOCH;
"19";"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-python.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5/";"2020-07-19 20:56:40";"STARTED";"1595185000";
"19";"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-python.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5/";"2020-07-19 20:58:06";"TERMINATED";"1595185086";
"21";"print-doxygen-version";"build-doxygen";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_19/build/bin/doxygen --version";"2020-07-19 20:58:06";"STARTED";"1595185086";
"21";"print-doxygen-version";"build-doxygen";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_19/build/bin/doxygen --version";"2020-07-19 20:58:06";"TERMINATED";"1595185086";
"22";"print-git-version";"build-git";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/git/git-2.28.0/git --version";"2020-07-19 20:58:06";"STARTED";"1595185086";
"22";"print-git-version";"build-git";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/git/git-2.28.0/git --version";"2020-07-19 20:58:06";"TERMINATED";"1595185086";
"23";"print-kcov-version";"build-kcov";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/build/src/kcov --version";"2020-07-19 20:58:06";"STARTED";"1595185086";
"23";"print-kcov-version";"build-kcov";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/build/src/kcov --version";"2020-07-19 20:58:06";"TERMINATED";"1595185086";
"24";"print-make-version";"build-make";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3/make --version";"2020-07-19 20:58:06";"STARTED";"1595185086";
"24";"print-make-version";"build-make";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3/make --version";"2020-07-19 20:58:06";"TERMINATED";"1595185086";
"25";"print-python-version";"build-python";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5/python -V";"2020-07-19 20:58:07";"STARTED";"1595185087";
"25";"print-python-version";"build-python";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5/python -V";"2020-07-19 20:58:07";"TERMINATED";"1595185087";
"26";"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-07-19 20:58:06";"STARTED";"1595185086";
"26";"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-07-19 20:58:06";"TERMINATED";"1595185086";
"27";"print-all-versions";"build-all print-doxygen-version print-git-version print-kcov-version print-make-version print-python-version";"";"";"2020-07-19 20:58:07";"STARTED";"1595185087";
"27";"print-all-versions";"build-all print-doxygen-version print-git-version print-kcov-version print-make-version print-python-version";"";"";"2020-07-19 20:58:07";"TERMINATED";"1595185087";
"28";"all";"print-all-versions";"";"";"2020-07-19 20:58:07";"STARTED";"1595185087";
"28";"all";"print-all-versions";"";"";"2020-07-19 20:58:07";"TERMINATED";"1595185087";
"2";"INIT";"";"";"";"2020-07-19 20:53:43";"STARTED";"1595184823";
"2";"INIT";"";"";"";"2020-07-19 20:53:43";"TERMINATED";"1595184823";
"3";"prepare-workdir-structure";"INIT";"/home/user/makbet/lib/tasks/common/create-dir-structure.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen /tmp/makbet/examples/02.toolchain-basic/git /tmp/makbet/examples/02.toolchain-basic/kcov /tmp/makbet/examples/02.toolchain-basic/make /tmp/makbet/examples/02.toolchain-basic/python";"2020-07-19 20:53:43";"STARTED";"1595184823";
"3";"prepare-workdir-structure";"INIT";"/home/user/makbet/lib/tasks/common/create-dir-structure.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen /tmp/makbet/examples/02.toolchain-basic/git /tmp/makbet/examples/02.toolchain-basic/kcov /tmp/makbet/examples/02.toolchain-basic/make /tmp/makbet/examples/02.toolchain-basic/python";"2020-07-19 20:53:43";"TERMINATED";"1595184823";
"4";"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/doxygen/doxygen/archive/Release_1_8_19.zip /tmp/makbet/examples/02.toolchain-basic/doxygen/Release_1_8_19.zip";"2020-07-19 20:53:43";"STARTED";"1595184823";
"4";"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/doxygen/doxygen/archive/Release_1_8_19.zip /tmp/makbet/examples/02.toolchain-basic/doxygen/Release_1_8_19.zip";"2020-07-19 20:53:50";"TERMINATED";"1595184830";
"5";"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/git/git/archive/v2.28.0.zip /tmp/makbet/examples/02.toolchain-basic/git/v2.28.0.zip";"2020-07-19 20:53:50";"STARTED";"1595184830";
"5";"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/git/git/archive/v2.28.0.zip /tmp/makbet/examples/02.toolchain-basic/git/v2.28.0.zip";"2020-07-19 20:54:01";"TERMINATED";"1595184841";
"6";"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-basic/kcov/38.zip";"2020-07-19 20:54:02";"STARTED";"1595184842";
"6";"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-basic/kcov/38.zip";"2020-07-19 20:54:04";"TERMINATED";"1595184844";
"7";"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-basic/make/make-4.3.tar.gz";"2020-07-19 20:54:04";"STARTED";"1595184844";
"7";"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-basic/make/make-4.3.tar.gz";"2020-07-19 20:54:09";"TERMINATED";"1595184849";
"8";"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://www.python.org/ftp/python/3.9.0/Python-3.9.0b5.tar.xz /tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5.tar.xz";"2020-07-19 20:54:09";"STARTED";"1595184849";
"8";"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://www.python.org/ftp/python/3.9.0/Python-3.9.0b5.tar.xz /tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5.tar.xz";"2020-07-19 20:54:26";"TERMINATED";"1595184866";
"9";"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/Release_1_8_19.zip /tmp/makbet/examples/02.toolchain-basic/doxygen/";"2020-07-19 20:53:50";"STARTED";"1595184830";
"9";"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/Release_1_8_19.zip /tmp/makbet/examples/02.toolchain-basic/doxygen/";"2020-07-19 20:53:50";"TERMINATED";"1595184830";
