TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"21";"print-doxygen-version";"build-doxygen";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_19/build/bin/doxygen --version";"2020-08-31 21:52:15.920291471";"TERMINATED";
"22";"print-git-version";"build-git";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/git/git-2.28.0/git --version";"2020-08-31 21:52:16.012258540";"STARTED";
"22";"print-git-version";"build-git";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/git/git-2.28.0/git --version";"2020-08-31 21:52:16.033750998";"TERMINATED";
"23";"print-kcov-version";"build-kcov";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/build/src/kcov --version";"2020-08-31 21:52:16.123789618";"STARTED";
"23";"print-kcov-version";"build-kcov";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/build/src/kcov --version";"2020-08-31 21:52:16.149746610";"TERMINATED";
"24";"print-make-version";"build-make";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3/make --version";"2020-08-31 21:52:16.243462917";"STARTED";
"24";"print-make-version";"build-make";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3/make --version";"2020-08-31 21:52:16.266369203";"TERMINATED";
"25";"print-python-version";"build-python";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b5/python -V";"2020-08-31 21:52:16.361034590";"STARTED";
"25";"print-python-version";"build-python";"/home/user/makbet/examples/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b5/python -V";"2020-08-31 21:52:16.384410067";"TERMINATED";
"26";"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-08-31 21:52:15.788597390";"STARTED";
"26";"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-08-31 21:52:15.805545563";"TERMINATED";
